track_name,date_listened,artist_name,ms_played
No Surprises,2022-09-29T17:24:00Z,Radiohead,971
Geno - 2000 Remaster,2022-09-07T20:23:00Z,Dexys Midnight Runners,2105
Dear Sergio,2022-09-29T17:24:00Z,Catch 22,1886
Here Comes The Sun,2022-09-29T17:24:00Z,Nina Simone,73623
"Go By Richard, Not By Dick",2022-09-29T17:25:00Z,Organ Freeman,61660
White Ball,2022-09-29T17:29:00Z,Miracle Musical,1425
Felicia,2022-09-29T17:29:00Z,The Constellations,8580
Shotgun - Acoustic Version,2022-09-29T17:29:00Z,George Ezra,1957
Zero,2022-09-29T17:29:00Z,Yeah Yeah Yeahs,1945
Science Is Golden,2022-09-29T17:29:00Z,The Grates,23
A Kiss A Week,2022-09-29T17:29:00Z,Big D and the Kids Table,2087
Someone To Love,2022-09-29T17:29:00Z,Fountains Of Wayne,23788
Champagne Supernova,2022-09-07T20:23:00Z,Oasis,1283
Heroes And Villains - Remastered 2001,2022-09-29T17:29:00Z,The Beach Boys,219306
Asshole,2022-09-29T17:34:00Z,Denis Leary,4699
Asshole,2022-09-29T17:34:00Z,Denis Leary,266173
Carol Brown,2022-09-29T17:55:00Z,Flight of the Conchords,113175
Magneto And Titanium Man - Remastered 2014,2022-09-29T18:49:00Z,Wings,620
Bath Full Of Ecstasy,2022-09-29T18:49:00Z,Hot Chip,1138
Solar Power - Spotify Singles,2022-09-29T18:50:00Z,Glass Animals,5715
Shine - The Lovefreekz Radio Edit,2022-09-29T18:50:00Z,The Lovefreekz,638
Shine - The Lovefreekz Radio Edit,2022-09-29T18:50:00Z,The Lovefreekz,0
Solar Power - Spotify Singles,2022-09-29T18:52:00Z,Glass Animals,160256
Grapejuice,2022-09-07T20:23:00Z,Harry Styles,1431
My Delirium,2022-09-29T18:53:00Z,Ladyhawke,0
A Bad Dream,2022-09-29T18:53:00Z,Keane,23
Fortunate Son,2022-09-29T18:53:00Z,Cat Power,2080
People Ain't No Good - 2011 Remastered Version,2022-09-29T18:53:00Z,Nick Cave & The Bad Seeds,726
Open Seas,2022-09-29T18:53:00Z,Christian Henson,1415
Telephone,2022-09-29T18:53:00Z,Lady Gaga,10041
Jade,2022-09-29T18:53:00Z,MAGIC GIANT,1322
It's Raining Again,2022-09-29T19:11:00Z,Supertramp,263941
Hook,2022-09-29T21:58:00Z,Blues Traveler,3122
Scourge Of The Universe,2022-09-29T21:59:00Z,DM DOKURO,1451
The Story So Far,2022-09-04T21:54:00Z,[spunge],231398
From The Dining Table,2022-09-07T20:23:00Z,Harry Styles,1561
Sailing,2022-09-29T21:59:00Z,Rod Stewart,1623
To Take You Home,2022-09-29T21:59:00Z,Frank Turner,616
Rainbow Road,2022-09-29T22:03:00Z,Helynt,222901
Good Ship Venus,2022-09-29T22:05:00Z,Loudon Wainwright III,218
Weight,2022-09-29T22:05:00Z,Kathryn Joseph,783
Pin It Down,2022-09-29T22:05:00Z,Madison Cunningham,98434
Sound And Vision - 2017 Remaster,2022-09-29T22:05:00Z,David Bowie,237
Quarters,2022-09-29T22:05:00Z,Wilco,829
No Reason,2022-09-29T22:08:00Z,Leslie Kritzer,191645
Memory,2022-09-29T22:11:00Z,Toby Fox,884
Cas Na Caora,2022-09-07T20:23:00Z,Tinderbox Orchestra,1562
Breezy,2022-09-29T22:11:00Z,Nobuo Uematsu,163666
Holocene,2022-09-29T22:11:00Z,Bon Iver,7749
"Starman (From ""Lightyear"")",2022-09-29T22:12:00Z,Geek Music,97495
'Helden' - German Version 1989 Remix; 2002 Remaster,2022-09-29T22:16:00Z,David Bowie,220706
Rosie's Nocturne,2022-09-29T22:17:00Z,Michael Giacchino,65908
